State,District,Location,Longitude,Latitude,Year,pH,EC,HCO3,CI,F,SO4,NO3,PO4,Total Hardness,Ca,Mg,K,Fe,As,U,Pb,Cd,Ni,Cr
Uttar Pradesh,Aligarh,Urban Center Aligarh,78.07,27.88,2022,7.5,850,210,120,0.8,45,20,0.1,350,80,40,2.5,0.45,15,40,8,2.5,20,15
Rajasthan,Jaipur,Industrial Zone Jaipur,75.7873,26.9124,2023,8.1,1200,300,180,1.2,70,30,0.2,450,110,55,3.0,0.8,35,65,15,4.0,50,45
Uttar Pradesh,Kanpur,Jajmau Tannery Zone,80.395,26.431,2022,8.4,1800,450,250,1.8,120,45,0.5,600,150,70,4.5,1.5,25,20,40,8.0,90,150
Punjab,Bathinda,Malwa Rural Zone,74.9455,30.211,2021,7.8,950,260,140,1.0,60,22,0.1,390,95,48,3.0,0.3,55,150,8,1.5,18,14
Gujarat,Vapi,Chemical Industrial Zone,72.915,20.37,2023,8.6,2200,550,350,2.2,180,55,0.8,800,200,90,5.5,2.8,40,50,60,10.0,120,180
Jharkhand,Jaduguda,Uranium Mining Area,86.35,22.65,2022,7.4,1100,280,160,1.5,70,25,0.15,430,100,50,3.5,0.9,70,250,20,4.0,40,30
Odisha,Sukinda,Chromite Mining Valley,85.8,21.05,2023,8.2,1500,380,220,1.6,100,40,0.3,550,140,65,4.2,2.2,30,25,30,6.0,100,250
Delhi,Delhi,Wazirabad Barrage Area,77.23,28.7,2024,8.0,1900,500,300,1.7,130,50,0.7,700,180,80,5.0,1.8,28,35,45,7.0,80,90
Kerala,Eloor,Periyar River Industrial,76.3,10.05,2022,7.1,1300,320,190,1.3,85,32,0.25,480,120,60,3.8,1.2,22,18,38,9.0,60,70
Andhra Pradesh,Patancheru,Pharmaceutical Hub,78.26,17.53,2023,8.5,2500,600,400,2.5,200,60,1.0,900,220,100,6.0,3.5,50,60,70,15.0,150,120
Rajasthan,Jaipur,Residential Area Jaipur,75.8223,26.9004,2023,7.8,950,250,140,0.9,50,22,0.1,380,90,45,2.8,0.25,8,25,5,1.0,15,10
Uttar Pradesh,Kanpur,IIT Kanpur Campus,80.232,26.5125,2023,7.3,650,150,80,0.5,30,12,0.04,250,55,30,2.0,0.1,3,5,1,0.1,4,2
Kerala,Eloor,Periyar River Industrial Well 2,76.32,10.09,2024,8.4,1422,375,226,1.5,101,38,0.29,566,142,71,4.5,1.4,26,21,45,10.7,71,83
